iter	Logloss
0	0.6576130027
1	0.6326570437
2	0.6047906521
3	0.5820066876
4	0.5633673018
5	0.5418440978
6	0.52216941
7	0.4999033795
8	0.4777113506
9	0.4602453978
10	0.4478288204
11	0.4307219573
12	0.4183163284
13	0.4032011835
14	0.3945144874
15	0.3805211723
16	0.3706108221
17	0.3618190493
18	0.3518306877
19	0.3438699455
20	0.3365939081
21	0.3299530603
22	0.3218031235
23	0.3147200045
24	0.3074426082
25	0.301531058
26	0.2964198054
27	0.2918100086
28	0.2879035378
29	0.2827625598
30	0.2761650379
31	0.2704680823
32	0.2661703335
33	0.2633430797
34	0.2592570789
35	0.2556476518
36	0.250436108
37	0.2476749826
38	0.2448610995
39	0.2415154493
40	0.23864162
41	0.2363057705
42	0.2331785133
43	0.2311454067
44	0.2281225236
45	0.2256161075
46	0.22303632
47	0.2205841219
48	0.2182871225
49	0.2158264762
50	0.2133576841
51	0.2109848452
52	0.2086987809
53	0.2066334465
54	0.2050817384
55	0.202851448
56	0.2005495808
57	0.1986118312
58	0.196727491
59	0.1947408134
60	0.1931556352
61	0.1913990203
62	0.1903598935
63	0.1889736147
64	0.1875492754
65	0.1863586666
66	0.1850181111
67	0.1835131212
68	0.1819854703
69	0.1802931835
70	0.1789258092
71	0.1776714439
72	0.1763429606
73	0.175183844
74	0.1739609364
75	0.172814641
76	0.1716851255
77	0.1706411774
78	0.169487797
79	0.1685542707
80	0.1677838347
81	0.1668101714
82	0.1657795802
83	0.1651510671
84	0.1641359454
85	0.1632074241
86	0.1624185142
87	0.1614925892
88	0.1606910817
89	0.159742762
90	0.159061979
91	0.1582897749
92	0.1578028079
93	0.1567653957
94	0.1562400687
95	0.1554703316
96	0.1545486193
97	0.154170138
98	0.1535855277
99	0.152833862
100	0.1522014614
101	0.1516661136
102	0.1512987995
103	0.150799319
104	0.1504141738
105	0.1497257385
106	0.1491872434
107	0.1483656283
108	0.1476927455
109	0.1473270819
110	0.1469084154
111	0.1463953189
112	0.145940738
113	0.1453608386
114	0.1450143057
115	0.1444469004
116	0.1438650898
117	0.143195803
118	0.1426568944
119	0.1421352837
120	0.1416158118
121	0.1412905206
122	0.1410896308
123	0.1404792381
124	0.1400959261
125	0.1396010766
126	0.1391514058
127	0.1389029005
128	0.1384633146
129	0.1378123043
130	0.1372037322
131	0.1368533894
132	0.1363256589
133	0.1361433944
134	0.1356832501
135	0.1350409505
136	0.1345893826
137	0.1343176101
138	0.1338766678
139	0.1334167428
140	0.1331816704
141	0.1330799486
142	0.1327607841
143	0.1324354196
144	0.1320944007
145	0.1316717953
146	0.1314370232
147	0.1312001796
148	0.1307667733
149	0.1304244913
150	0.1301584998
151	0.13003813
152	0.1297607646
153	0.1294140451
154	0.1290023159
155	0.1285006776
156	0.1281669581
157	0.1281075661
158	0.1278951036
159	0.127460619
160	0.1271241218
161	0.1268017285
162	0.1265510563
163	0.1262526298
164	0.1260007013
165	0.1256647613
166	0.125289325
167	0.124778201
168	0.1246633106
169	0.1245419267
170	0.1241268737
171	0.1240454654
172	0.1237216794
173	0.1235269153
174	0.1235091263
175	0.1234757753
176	0.1231362429
177	0.1227769451
178	0.1225893675
179	0.1222989535
180	0.1219745755
181	0.1217304552
182	0.121463769
183	0.12125476
184	0.1208119283
185	0.120756114
186	0.12054553
187	0.1205061656
188	0.1201147317
189	0.1197661516
190	0.1194492003
191	0.1193939487
192	0.1191103739
193	0.1189681519
194	0.1189267815
195	0.1188218454
196	0.1187789146
197	0.1184206059
198	0.1180384026
199	0.1177870255
200	0.1175278873
201	0.1174045075
202	0.1171996789
203	0.1171417483
204	0.1169774287
205	0.1166691879
206	0.1166295206
207	0.116258923
208	0.1159824538
209	0.1158996264
210	0.1158537472
211	0.1158263702
212	0.1155390945
213	0.1155023214
214	0.1152448577
215	0.1150150792
216	0.1147893836
217	0.1144046502
218	0.114211051
219	0.1138301203
220	0.1135838067
221	0.1134848127
222	0.1134437512
223	0.1132138819
224	0.1130553041
225	0.1129960013
226	0.1129533052
227	0.112888394
228	0.112628108
229	0.1125867016
230	0.1123435446
231	0.1122128058
232	0.1119776141
233	0.1117598244
234	0.1117192091
235	0.1116683955
236	0.1115002748
237	0.1112724752
238	0.1108966104
239	0.1108627169
240	0.1108073037
241	0.1105048753
242	0.1104669507
243	0.1102519034
244	0.1102164638
245	0.1101705199
246	0.1101420798
247	0.1101099775
248	0.1099117289
249	0.1095356696
250	0.1092339732
251	0.1090689894
252	0.1088632448
253	0.1088312899
254	0.1087987814
255	0.1085849509
256	0.1085285856
257	0.1084476274
258	0.1084063373
259	0.1083703893
260	0.1081287266
261	0.1081089041
262	0.1080700214
263	0.1080319795
264	0.1080183866
265	0.1079590819
266	0.1077283706
267	0.1076979087
268	0.1076738258
269	0.107363075
270	0.1070747837
271	0.1070428855
272	0.1068497374
273	0.1065149023
274	0.1063751475
275	0.1063437711
276	0.1063125549
277	0.106068437
278	0.1058581849
279	0.1056325901
280	0.1055357378
281	0.1051389036
282	0.1048442695
283	0.1048271079
284	0.1047901868
285	0.1046986643
286	0.1043972356
287	0.104374209
288	0.1041876504
289	0.1038014992
290	0.1037785726
291	0.1037592671
292	0.103727494
293	0.1036821313
294	0.1036480095
295	0.1036209929
296	0.1036090097
297	0.1035786726
298	0.10343661
299	0.1034035166
